#TYPE System.IO.FileInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","VersionInfo","BaseName","Target","LinkType","Name","Length","DirectoryName","Directory","IsReadOnly","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\Audits\Commercial_audit_checklist_tool.xlsx","Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\Audits","Commercial_audit_checklist_tool.xlsx","D","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\Audits\Commercial_audit_checklist_tool.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Commercial_audit_checklist_tool","System.Collections.Generic.List`1[System.String]",,"Commercial_audit_checklist_tool.xlsx","221129","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\Audits","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\Audits","False","True","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\Audits\Commercial_audit_checklist_tool.xlsx",".xlsx","23/01/2017 13:03:10","23/01/2017 18:03:10","19/04/2022 18:31:24","19/04/2022 22:31:24","14/07/2016 09:54:45","14/07/2016 13:54:45","Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\ChangeRequests\DoD_Master_Office_2010_Settings_v1.0.xlsx","Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\ChangeRequests","DoD_Master_Office_2010_Settings_v1.0.xlsx","D","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\ChangeRequests\DoD_Master_Office_2010_Settings_v1.0.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","DoD_Master_Office_2010_Settings_v1.0","System.Collections.Generic.List`1[System.String]",,"DoD_Master_Office_2010_Settings_v1.0.xlsx","319973","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\ChangeRequests","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\ChangeRequests","False","True","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\ChangeRequests\DoD_Master_Office_2010_Settings_v1.0.xlsx",".xlsx","23/01/2017 13:03:10","23/01/2017 18:03:10","19/04/2022 18:31:24","19/04/2022 22:31:24","14/07/2016 12:02:54","14/07/2016 16:02:54","Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\ChangeRequests\Microsoft Office 2010 Service Pack 1 Changes.xlsx","Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\ChangeRequests","Microsoft Office 2010 Service Pack 1 Changes.xlsx","D","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\ChangeRequests\Microsoft Office 2010 Service Pack 1 Changes.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Microsoft Office 2010 Service Pack 1 Changes","System.Collections.Generic.List`1[System.String]",,"Microsoft Office 2010 Service Pack 1 Changes.xlsx","40225","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\ChangeRequests","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\ChangeRequests","False","True","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\ChangeRequests\Microsoft Office 2010 Service Pack 1 Changes.xlsx",".xlsx","23/01/2017 13:03:10","23/01/2017 18:03:10","19/04/2022 18:31:24","19/04/2022 22:31:24","14/07/2016 12:02:26","14/07/2016 16:02:26","Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\ChangeRequests\thoughtfarmer-intranet-content-migration-worksheet.xlsx","Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\ChangeRequests","thoughtfarmer-intranet-content-migration-worksheet.xlsx","D","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\ChangeRequests\thoughtfarmer-intranet-content-migration-worksheet.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","thoughtfarmer-intranet-content-migration-worksheet","System.Collections.Generic.List`1[System.String]",,"thoughtfarmer-intranet-content-migration-worksheet.xlsx","30931","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\ChangeRequests","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\ChangeRequests","False","True","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\ChangeRequests\thoughtfarmer-intranet-content-migration-worksheet.xlsx",".xlsx","23/01/2017 13:03:10","23/01/2017 18:03:10","19/04/2022 18:31:24","19/04/2022 22:31:24","14/07/2016 12:02:35","14/07/2016 16:02:35","Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\CoverLetters\the-cover-letter.docx","Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\CoverLetters","the-cover-letter.docx","D","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\CoverLetters\the-cover-letter.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","the-cover-letter","System.Collections.Generic.List`1[System.String]",,"the-cover-letter.docx","22892","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\CoverLetters","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\CoverLetters","False","True","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\CoverLetters\the-cover-letter.docx",".docx","23/01/2017 13:03:10","23/01/2017 18:03:10","19/04/2022 18:31:24","19/04/2022 22:31:24","22/01/2017 21:22:39","23/01/2017 02:22:39","Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements\3yr-Project-Financial-Report-Template.xlsx","Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements","3yr-Project-Financial-Report-Template.xlsx","D","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements\3yr-Project-Financial-Report-Template.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","3yr-Project-Financial-Report-Template","System.Collections.Generic.List`1[System.String]",,"3yr-Project-Financial-Report-Template.xlsx","145129","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements","False","True","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements\3yr-Project-Financial-Report-Template.xlsx",".xlsx","23/01/2017 13:03:10","23/01/2017 18:03:10","19/04/2022 18:31:24","19/04/2022 22:31:24","22/01/2017 20:02:24","23/01/2017 01:02:24","Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements\82808-Annual Report Financial Overview Template and Graphs.xlsx","Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements","82808-Annual Report Financial Overview Template and Graphs.xlsx","D","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements\82808-Annual Report Financial Overview Template and Graphs.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","82808-Annual Report Financial Overview Template and Graphs","System.Collections.Generic.List`1[System.String]",,"82808-Annual Report Financial Overview Template and Graphs.xlsx","3079772","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements","False","True","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements\82808-Annual Report Financial Overview Template and Graphs.xlsx",".xlsx","23/01/2017 13:03:10","23/01/2017 18:03:10","19/04/2022 18:31:24","19/04/2022 22:31:24","22/01/2017 20:02:41","23/01/2017 01:02:41","Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements\FinancialStatementFY12Q2.xlsx","Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements","FinancialStatementFY12Q2.xlsx","D","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements\FinancialStatementFY12Q2.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","FinancialStatementFY12Q2","System.Collections.Generic.List`1[System.String]",,"FinancialStatementFY12Q2.xlsx","78249","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements","False","True","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements\FinancialStatementFY12Q2.xlsx",".xlsx","23/01/2017 13:03:10","23/01/2017 18:03:10","19/04/2022 18:31:24","19/04/2022 22:31:24","14/07/2016 12:02:21","14/07/2016 16:02:21","Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements\GPAF IMP 067 Annual Financial Report 300414.xlsx","Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements","GPAF IMP 067 Annual Financial Report 300414.xlsx","D","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements\GPAF IMP 067 Annual Financial Report 300414.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","GPAF IMP 067 Annual Financial Report 300414","System.Collections.Generic.List`1[System.String]",,"GPAF IMP 067 Annual Financial Report 300414.xlsx","184360","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements","False","True","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements\GPAF IMP 067 Annual Financial Report 300414.xlsx",".xlsx","23/01/2017 13:03:11","23/01/2017 18:03:11","23/01/2017 13:03:11","23/01/2017 18:03:11","22/01/2017 20:03:25","23/01/2017 01:03:25","Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements\SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx","Microsoft.PowerShell.Core\FileSystem::D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements","SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx","D","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements\SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","SBR FY 2016 Annual Report Template 7-21-16 Final","System.Collections.Generic.List`1[System.String]",,"SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx","47716","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements","False","True","D:\Champlain Work\Second Semester\SYS-320 Automation and Scripting\SYS-320_SP22\Week12\class\Documents\FinancialStatements\SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx",".xlsx","23/01/2017 13:03:11","23/01/2017 18:03:11","23/01/2017 13:03:11","23/01/2017 18:03:11","22/01/2017 20:02:22","23/01/2017 01:02:22","Archive"
